sum_ws,sum_vorp,wavg_per,wavg_ts,wavg_age,wavg_bpm,top2_vorp,top3_vorp,top2_ws,top3_ws,num_players,total_minutes,count_PG,count_SG,count_SF,count_PF,count_C,count_UNK,TEAM_NAME,season,won_championship
41.9,10.4,15.333976619038783,0.5338371992330055,27.937898187666235,0.6544999072184079,5.5,7.3,13.2,19.2,16,16167,3,3,4,2,4,0,Atlanta Hawks,2011-12,0
38.7,10.299999999999999,14.28377564464521,0.532682978856892,29.313319530710835,0.5570863918690007,6.1,8.2,13.9,18.8,17,15939,3,4,2,2,6,0,Boston Celtics,2011-12,0
3.3999999999999995,-6.2,12.178392497482378,0.48059069738167165,24.53637965760322,-3.5392308660624368,0.8,0.7000000000000001,3.3,4.1,16,15888,3,2,4,4,3,0,Charlotte Hornets,2011-12,0
52.49999999999999,15.6,16.134563021519543,0.5238495514147689,27.092038396386222,1.8851245372984504,5.699999999999999,7.999999999999999,16.6,22.6,14,15939,4,4,1,3,2,0,Chicago Bulls,2011-12,0
18.4,0.7,13.410083928347738,0.5025137792809721,26.027182763372164,-1.7866340974570964,3.3,3.9,7.199999999999999,9.6,21,15966,5,4,4,4,4,0,Cleveland Cavaliers,2011-12,0
35.6,9.9,15.077570966135458,0.5249330179282868,31.25230328685259,0.4891932270916335,4.7,5.9,11.399999999999999,15.099999999999998,16,16064,3,4,3,2,4,0,Dallas Mavericks,2011-12,0
39.6,10.7,16.222911471321698,0.5572109725685785,26.64058603491272,0.6856546134663342,4.1,5.199999999999999,12.2,16.799999999999997,17,16040,1,4,4,3,5,0,Denver Nuggets,2011-12,0
23.099999999999998,2.7000000000000006,13.62008142812402,0.5023150015659256,26.348261822737232,-1.351418728468525,3.7,4.4,11.5,14.8,14,15965,3,2,3,3,3,0,Detroit Pistons,2011-12,0
25.900000000000002,5.6,15.190355010995917,0.5400557335846685,25.340496387056234,-0.6391014765944077,2.8,4.0,8.5,11.9,20,15915,4,2,4,3,7,0,Golden State Warriors,2011-12,0
34.900000000000006,8.799999999999999,15.05846872082166,0.5290943666355432,26.20161842514783,0.19884842826019306,4.0,5.3,10.0,14.1,19,16065,5,3,2,4,5,0,Houston Rockets,2011-12,0
41.400000000000006,10.799999999999999,15.477762491401416,0.5241401413294978,26.25520605340504,0.6697267212807206,5.2,7.0,12.9,18.9,15,15991,3,3,2,3,4,0,Indiana Pacers,2011-12,0
40.3,10.799999999999999,15.972554177627458,0.5283499311035951,27.269134410622573,0.7487536014029811,9.5,10.4,21.9,27.5,18,15966,3,5,3,5,2,0,Los Angeles Clippers,2011-12,0
37.1,10.0,15.448306983692268,0.5278847255072825,29.70247728121499,0.5058010705838416,6.199999999999999,8.799999999999999,16.3,22.5,17,16066,4,4,4,3,2,0,Los Angeles Lakers,2011-12,0
