Rk,Player,Age,Tm,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,bbref_id,Player_clean,salary_2025_26,salary_imputed
464,Cole Swider,25,2TM,SF,10,0,169,6.5,0.465,0.746,0.016,3.1,14.3,8.6,2.3,1.1,1.1,5.9,16.7,-0.2,0.1,0.0,-0.009,-4.9,-2.4,-7.3,-0.2,,swideco01,cole swider,600000.0,True
392,Colin Castleton,24,3TM,C,26,4,432,11.3,0.536,0.163,0.388,13.0,17.9,15.4,8.9,0.9,2.2,16.7,13.4,0.3,0.4,0.7,0.075,-4.0,-1.0,-5.0,-0.3,,castlco01,colin castleton,1200000.0,True
386,Collin Gillespie,25,PHO,PG,33,9,461,16.8,0.578,0.57,0.139,5.5,13.2,9.4,24.0,2.3,1.0,9.2,17.7,1.0,0.3,1.3,0.131,2.3,0.2,2.5,0.5,,gilleco01,collin gillespie,1200000.0,True
135,Collin Sexton,26,UTA,SG,63,61,1758,16.6,0.593,0.313,0.29,3.7,6.8,5.2,25.1,1.3,0.3,14.1,27.0,2.5,-0.1,2.4,0.066,1.7,-2.3,-0.6,0.6,,sextoco01,collin sexton,19175000.0,False
160,Corey Kispert,25,WAS,SF,61,0,1602,11.0,0.584,0.584,0.156,2.3,9.5,5.9,9.7,0.8,0.8,9.6,17.5,1.0,0.1,1.1,0.032,-1.4,-2.2,-3.7,-0.7,,kispeco01,corey kispert,13975000.0,False
345,Cory Joseph,33,ORL,PG,50,16,612,10.9,0.547,0.695,0.117,3.0,11.2,6.9,17.0,2.1,0.6,10.0,12.8,0.6,0.9,1.5,0.114,-2.3,1.4,-0.8,0.2,,josepco01,cory joseph,1200000.0,True
370,Craig Porter Jr.,24,CLE,PG,51,1,513,13.1,0.61,0.343,0.229,4.1,9.9,7.1,17.7,1.6,2.6,19.8,15.9,0.5,0.6,1.1,0.102,0.1,1.0,1.1,0.4,,portecr01,craig porter jr,2221677.0,False
557,Cui Yongxi,21,BRK,SG,5,0,10,-10.7,0.19,0.429,0.286,0.0,23.8,11.4,0.0,0.0,0.0,0.0,34.4,-0.1,0.0,-0.1,-0.473,-16.8,-8.2,-24.9,-0.1,,cuiyo01,cui yongxi,600000.0,True
509,Daeqwon Plowden,26,ATL,SG,6,0,72,16.1,0.831,0.68,0.08,5.9,10.9,8.4,4.1,0.0,0.0,13.4,17.0,0.2,0.0,0.2,0.125,1.5,-1.5,-0.1,0.0,,plowdda01,daeqwon plowden,600000.0,True
554,Daishen Nix,22,MIN,PG,3,0,13,-7.0,0.266,1.0,2.0,0.0,33.6,17.1,27.2,0.0,0.0,68.0,19.6,-0.1,0.0,-0.1,-0.327,-14.9,-1.2,-16.2,0.0,,nixda01,daishen nix,600000.0,True
251,Dalano Banton,25,POR,PG,67,7,1120,12.9,0.497,0.438,0.247,2.8,10.4,6.5,21.5,1.9,2.8,13.3,24.1,-0.3,1.1,0.8,0.033,-0.6,-0.2,-0.8,0.3,,bantoda01,dalano banton,1200000.0,True
